trial_id,scene_id,image_path,model,question,expected_objects,reported_objects,correct_objects,missed_objects,hallucinated_objects,latency_s,cost_usd,notes
scene-001-gemini,scene-001,evaluation/scenes/comparison/scene-001.jpg,gemini-3.5-flash-lite,scene description,human figure; bookshelf,"The image shows a hallway with brown brick walls on the left and right sides. A tall, white humanoid figure stands in the background near a wooden wall section, while an open wooden shelving unit is positioned on the right foreground.",human figure; bookshelf,,,2.476,,"tokens in=1116 out=45 retries=0; manually verified against the image: ""white humanoid figure"" = human figure; ""open wooden shelving unit"" = bookshelf (keyword score missed ""shelving"")"
scene-002-gemini,scene-002,evaluation/scenes/comparison/scene-002.jpg,gemini-3.5-flash-lite,scene description,fire hydrant,"A central brick wall features reddish-brown bricks with some yellowish patches. To the right of the brick wall, a red fire hydrant stands against a wooden panel wall.",fire hydrant,,,3.933,,tokens in=1116 out=33 retries=0; manually verified against the image
scene-003-gemini,scene-003,evaluation/scenes/comparison/scene-003.jpg,gemini-3.5-flash-lite,scene description,trash can,"A black trash can is situated on the left side of a light gray surface, positioned against a red brick wall. The wall forms a corner in the background, extending to the right.",trash can,,,43.574,,tokens in=1116 out=37 retries=0; manually verified against the image
scene-004-gemini,scene-004,evaluation/scenes/comparison/scene-004.jpg,gemini-3.5-flash-lite,scene description,car wheel,"A black wheel sits on the floor near the center of the image, positioned in front of a brown wooden wall. To the right, a red and brown brick wall extends forward with an open window-like opening above.",car wheel,,,2.149,,tokens in=1116 out=44 retries=0; manually verified against the image
scene-005-gemini,scene-005,evaluation/scenes/comparison/scene-005.jpg,gemini-3.5-flash-lite,scene description,human figure,"Two white cylindrical poles with small square bases stand vertically near a corner formed by a wooden wall and baseboard. The floor is light grey, and the surrounding walls feature a light brown wood paneling pattern.",,human figure,,12.390,,"tokens in=1116 out=41 retries=0; manually verified against the image: figure legs described as ""two white cylindrical poles"""
scene-006-gemini,scene-006,evaluation/scenes/comparison/scene-006.jpg,gemini-3.5-flash-lite,scene description,cinder block; table,"Two grey metal table legs stand on a light grey floor beneath a dark table. A light wooden wall is on the right, and a red brick wall is on the left.",table,cinder block,,2.955,,"tokens in=1116 out=35 retries=0; manually verified against the image: ""legs"" are the table legs, not a person (false keyword flag); small dark block at the wall not mentioned"
scene-007-gemini,scene-007,evaluation/scenes/comparison/scene-007.jpg,gemini-3.5-flash-lite,scene description,bookshelf,A brown wooden cabinet features one visible shelf dividing its interior space. The cabinet is positioned against a matching brown wooden wall panel.,bookshelf,,,57.279,,"tokens in=1116 out=25 retries=0; manually verified against the image: bookshelf called ""wooden cabinet ... one visible shelf""; cabinet/trash-can flags false (""bin"" inside ""cabinet"")"
scene-008-gemini,scene-008,evaluation/scenes/comparison/scene-008.jpg,gemini-3.5-flash-lite,scene description,,"A red brick wall is on the left, and a smooth wooden wall panel is on the right. In the center, a dark doorway framed by brick is flanked by vertical wooden surfaces.",,,,52.804,,tokens in=1116 out=37 retries=0; manually verified against the image: doorway exists
scene-009-gemini,scene-009,evaluation/scenes/comparison/scene-009.jpg,gemini-3.5-flash-lite,scene description,,"A red brick wall with visible mortar lines is positioned on the left side of the frame. To the right, a smooth brown wooden surface adjoins the brick wall at a corner. A plain, light-colored floor extends across the foreground below both surfaces.",,,,2.852,,tokens in=1116 out=51 retries=0; manually verified against the image
scene-010-gemini,scene-010,evaluation/scenes/comparison/scene-010.jpg,gemini-3.5-flash-lite,scene description,,"A wooden furniture piece with a smooth, brown surface is situated on the left side. On the right, a textured red brick wall stands prominently in the background. The floor area below is plain gray and empty.",,,,2.478,,"tokens in=1116 out=42 retries=0; manually verified against the image: ""wooden furniture piece"" = the wooden panel/post on the left"
