trial,category,utterance,expected_action,expected_argument,predicted_action,predicted_argument,correct,latency_seconds,raw_command,error
1,direct,Go to Room 1.,goto_room,1,goto_room,1,True,0.964,"{""action"": ""goto_room"", ""room"": 1}",
2,paraphrase,Could you check room three please?,goto_room,3,goto_room,3,True,0.723,"{""action"": ""goto_room"", ""room"": 3}",
3,paraphrase,Head over to the fourth room.,goto_room,4,goto_room,4,True,0.732,"{""action"": ""goto_room"", ""room"": 4}",
4,paraphrase,Make your way to room six.,goto_room,6,goto_room,6,True,0.646,"{""action"": ""goto_room"", ""room"": 6}",
5,paraphrase,Please visit the second room.,goto_room,2,goto_room,2,True,0.691,"{""action"": ""goto_room"", ""room"": 2}",
6,paraphrase,Navigate to the fifth room when ready.,goto_room,5,goto_room,5,True,0.672,"{""action"": ""goto_room"", ""room"": 5}",
7,follow_up,Go to Room 3.,goto_room,3,goto_room,3,True,0.772,"{""action"": ""goto_room"", ""room"": 3}",
8,follow_up,Please go there again.,goto_room,3,goto_room,3,True,0.671,"{""action"": ""goto_room"", ""room"": 3}",
9,invalid,Go to Room 99.,chat,,chat,,True,0.684,"{""action"": ""chat"", ""reply"": ""I cannot go to Room 99 because only Rooms 1 to 6 exist.""}",
10,invalid,Take me to Room 0.,chat,,chat,,True,0.701,"{""action"": ""chat"", ""reply"": ""I cannot go to Room 0 because only Rooms 1 to 6 exist.""}",
11,invalid,Navigate to Room 7.,chat,,chat,,True,0.724,"{""action"": ""chat"", ""reply"": ""I cannot go to Room 7 because only Rooms 1 to 6 exist.""}",
12,out_of_scope,Do a backflip.,chat,,chat,,True,0.672,"{""action"": ""chat"", ""reply"": ""I cannot do a backflip. I am a wheeled ground robot and can only navigate on the ground.""}",
13,out_of_scope,Fly upstairs.,chat,,chat,,True,0.699,"{""action"": ""chat"", ""reply"": ""I cannot fly. I can only navigate on the ground to Rooms 1 through 6.""}",
14,out_of_scope,What will tomorrow's weather be?,chat,,chat,,True,0.743,"{""action"": ""chat"", ""reply"": ""I am a TurtleBot3 robot and do not have access to weather forecasts.""}",
15,capability,What can you see?,describe,,describe,,True,0.670,"{""action"": ""describe""}",
16,capability,Describe the current room.,describe,,describe,,True,0.670,"{""action"": ""describe""}",
17,capability,Move towards the cup.,approach,cup,approach,cup,True,0.792,"{""action"": ""approach"", ""object"": ""cup""}",
18,capability,Approach the ball.,approach,ball,approach,ball,True,0.702,"{""action"": ""approach"", ""object"": ""ball""}",
19,capability,Stop moving immediately.,stop,,stop,,True,0.633,"{""action"": ""stop""}",
20,chat,"Hello, how are you?",chat,,chat,,True,0.992,"{""action"": ""chat"", ""reply"": ""Hello! I am doing well, ready to help you navigate or inspect rooms. How can I assist you today?""}",
