trial_id,room,target_object,nav_command,approach_command,parsed_nav,parsed_approach,parsing_success,navigation_success,nav_final_error_m,description,description_success,approach_arrived,grounding_correct,approach_final_distance_m,approach_success,end_to_end_success,parsing_latency_s,navigation_latency_s,description_latency_s,approach_latency_s,parse_calls,vision_calls,approach_calls,input_tokens,output_tokens,parser_models,total_cost_usd,failure_reason,evidence,notes
E01,5,standing person,I'd like you to visit Room 5.,Approach the standing person.,"{""action"": ""goto_room"", ""room"": 5}","{""action"": ""approach"", ""object"": ""standing person""}",True,True,0.047,"Two white cylindrical robot legs with flat rectangular feet stand on a light gray floor, positioned near the corner where a brown wooden wall meets a lighter wooden surface (possibly a shelf or door frame). The legs are parallel and slightly angled inward, with visible joints at the knees. No other objects are clearly visible.",False,True,True,0.458,True,False,2.17,21.04,1.90,22.78,2,1,3,3842,191,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E01_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-55ubtluy,description: mannequin called 'white cylindrical robot legs'; grounding: mannequin legs boxed in all 3 frames
E02,6,cinder block,Could you check room six please?,Move to the cinder block.,"{""action"": ""goto_room"", ""room"": 6}","{""action"": ""chat"", ""reply"": ""I cannot move to or approach a cinder block unless it is clearly visible and identifiable in my current field of view. In Room 6, I see table legs, walls, and a small black rectangular object\u2014but no cinder block. Could you clarify or confirm its location?""}",False,True,0.049,"Two dark gray cylindrical table legs with flat metallic bases stand on a light gray floor, spaced apart near the center. To the left is a red brick wall segment beside a white rectangular panel; to the right and rear are light brown wooden walls. A small black rectangular object rests on the floor behind the right table leg.",False,False,False,3.937,False,False,2.91,104.14,1.87,0.00,2,1,0,1855,145,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E02_description.jpg | ,description: cinder block not named (keyword 'brick' matched the brick wall)
E03,2,red fire hydrant,Take me to room two. What is there?,Move to the red fire hydrant.,"{""action"": ""goto_room"", ""room"": 2}","{""action"": ""approach"", ""object"": ""red fire hydrant""}",True,True,0.231,"A red fire hydrant stands centrally on the grey floor, flanked by a vertical grey pole to its right. Behind it are wooden-paneled walls and a brick wall section on the left; a wooden shelving unit is visible in the background to the right.",True,True,True,0.696,True,True,1.29,49.89,1.86,40.89,2,1,6,5835,306,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E03_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-2lbgxu_f,grounding: hydrant boxed in all 6 frames
E04,6,grey block,Could you check room six please?,Move to the grey block.,"{""action"": ""goto_room"", ""room"": 6}","{""action"": ""chat"", ""reply"": ""I don\u2019t see a grey block in the current view of Room 6. Could you clarify or describe it further?""}",False,True,0.050,"Two dark gray cylindrical legs with flat square bases stand on a light gray floor, supporting a black tabletop overhead. To the left is a red brick wall partially covered by a white rectangular panel; to the right and rear are light brown wooden walls. No other objects are clearly visible.",False,False,False,3.938,False,False,1.73,79.24,1.78,0.00,2,1,0,1846,105,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E04_description.jpg | ,description: cinder block not named (keyword 'brick' matched the brick wall)
E05,2,fire hydrant,I'd like you to visit Room 2.,Approach the fire hydrant.,"{""action"": ""goto_room"", ""room"": 2}","{""action"": ""approach"", ""object"": ""fire hydrant""}",True,True,0.232,"A red fire hydrant stands centrally on the grey floor, flanked by a vertical grey pole to its right. To the left and right are brick walls with multicolored bricks (red, yellow, purple), and behind the hydrant is a wooden-paneled wall with a narrow vertical window and a light-wood shelving unit. A black trash bin is partially visible on the far right edge.",True,True,True,0.702,True,True,1.23,50.40,2.01,38.05,2,1,5,5192,291,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E05_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-3hoktu1a,grounding: hydrant boxed in all 5 frames
E06,4,tyre,Go to Room 4 and have a look.,Move to the tyre.,"{""action"": ""goto_room"", ""room"": 4}","{""action"": ""approach"", ""object"": ""tyre""}",True,True,0.048,"A single black rubber wheel with a textured tread lies on the floor near the corner where a wooden-paneled wall meets a red brick wall. The floor is light gray, and a white rectangular panel is mounted on the left side of the wooden wall.",True,True,True,0.639,True,True,1.44,64.09,1.20,22.04,2,1,3,3828,184,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E06_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-x9dus8qz,grounding: wheel boxed in all 3 frames
E07,5,human figure,Could you check room five please?,"Drive up to the human figure, please.","{""action"": ""goto_room"", ""room"": 5}","{""action"": ""chat"", ""reply"": ""I don't see a human figure in the current view \u2014 only a pair of white robotic legs. Could you clarify or confirm if you'd like me to approach those legs instead?""}",False,True,0.239,"A pair of white, segmented robotic legs stands on a light gray floor, positioned near the corner where a wooden wall meets a wooden baseboard. The wood has a warm brown tone with visible grain; the legs are upright and symmetrically placed, each ending in a flat rectangular foot. No other objects are clearly visible in the frame.",False,False,False,2.085,False,False,2.04,87.44,1.86,0.00,2,1,0,1860,128,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E07_description.jpg | ,"description: mannequin called 'white, segmented robotic legs'"
E08,2,fire hydrant,Go to Room 2 and have a look.,Please go and stand next to the fire hydrant.,"{""action"": ""goto_room"", ""room"": 2}","{""action"": ""approach"", ""object"": ""fire hydrant""}",True,True,0.046,"A red fire hydrant stands on the right side of the scene, adjacent to a light wooden wall. In the center is a brick wall section with reddish-brown and yellow bricks, flanked by wooden panels on both sides; a narrow white vertical strip (possibly a door frame) is visible just right of the brick wall. The floor is a uniform gray surface.",True,True,True,0.687,True,True,1.17,48.01,1.97,37.25,2,1,5,5191,285,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E08_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-se8mybfi,grounding: hydrant boxed in all 5 frames
E09,4,tyre,Please navigate to room number 4.,Move to the tyre.,"{""action"": ""goto_room"", ""room"": 4}","{""action"": ""approach"", ""object"": ""tyre""}",True,True,0.048,"A black, treaded wheel is visible on the right, resting against a red brick wall and adjacent to a light brown wooden floor. Above the floor, a white vertical surface (likely a wall or panel) meets the wood at a right angle. The foreground is a uniform gray surface, possibly a table or platform.",True,True,True,0.640,True,True,1.36,64.10,1.60,22.44,2,1,3,3838,198,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E09_description.jpg | /home/alex/EE4705/evaluation/task4_evidence/chat/attempt-iuuphbew,description: wheel named; calls the floor 'possibly a table or platform'; grounding: wheel boxed in all 3 frames
E10,6,concrete block,I'd like you to visit Room 6.,Move to the concrete block.,"{""action"": ""goto_room"", ""room"": 6}","{""action"": ""chat"", ""reply"": ""I cannot move to or interact with specific objects like 'the concrete block' \u2014 I can only navigate between the six rooms (Room 1 to Room 6). Could you please ask me to go to one of those rooms instead?""}",False,True,0.049,"Two dark gray cylindrical table legs stand on a light gray floor, supporting a black tabletop overhead. To the left is a red brick wall with a white rectangular panel above it; to the right is a light brown wooden wall. A small dark rectangular object sits near the base of the right leg.",False,False,False,3.937,False,False,2.23,18.37,1.50,0.00,2,1,0,1855,131,qwen-plus / qwen-plus,0.00 (free tier),,evaluation/e2e_evidence/E10_description.jpg | ,description: cinder block not named (keyword 'brick' matched the brick wall)
