run,trial_id,target,gazebo_model,start_pose_world,start_distance_m,start_bearing_deg,planned_visible,initially_visible,grounding_correct,arrived,success,final_distance_m,final_laser_range_m,time_s,api_calls,input_tokens,output_tokens,search_rotation_deg,failure_reason,model,evidence_dir,notes
1,T01,fire hydrant,fire_hydrant,"(-3.08, 3.46, -180 deg)",3.50,-0,True,True,True,True,True,0.697,0.534,26.4,4,1964,143,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-jcbwzaf1,I am now next to the fire hydrant. Grounding: box on the hydrant in all 4 frames
1,T02,fire hydrant,fire_hydrant,"(-4.41, 2.21, 170 deg)",2.50,-20,True,True,True,True,True,0.697,0.543,20.1,3,1473,106,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-fq2hgv3o,I am now next to the fire hydrant. Grounding: box on the hydrant in all 3 frames
1,T03,fire hydrant,fire_hydrant,"(-6.58, 0.46, -90 deg)",3.00,+180,False,False,True,False,False,2.986,2.952,20.4,6,2946,150,180,path_blocked,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-tbx5j1eg,"Sorry, I stopped because something is blocking the way to the fire hydrant. Grounding: hydrant out of view in frames 0-3 (behind), boxed correctly in frames 4-5"
1,T04,car wheel,car_wheel,"(4.34, 0.97, -15 deg)",3.00,+0,True,True,True,True,True,0.602,0.557,21.1,3,1470,106,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-to26izl9,I am now next to the car wheel. Grounding: box on the wheel in all 3 frames
1,T05,car wheel,car_wheel,"(6.46, 3.09, -50 deg)",3.00,-25,True,True,True,False,False,0.691,0.537,22.3,3,1470,106,0,obstacle_during_turn,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-jttogkl2,"Sorry, I stopped because something is blocking the way to the car wheel. Grounding: box on the wheel in all 3 frames"
1,T06,car wheel,car_wheel,"(5.12, 2.31, 75 deg)",2.99,-120,False,False,N/A,False,False,2.991,,6.3,2,980,36,90,sensor_missing_invalid_or_stale,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-8hvzoqx2,"Sorry, I could not reach the car wheel (sensor missing invalid or stale). Grounding: wheel never came into view: the attempt aborted (camera stale) after one 45 deg search turn"
1,T07,cinder block,cinder_block,"(6.44, -1.51, -90 deg)",3.50,-0,True,False,False,False,False,4.264,1.349,50.4,13,6383,264,539,object_not_found_search_limit,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-d6c1ffyw,"Sorry, I could not find the cinder block after turning a full circle. Grounding: block (small, 3.5 m, behind table legs) missed in frame 0; frame 4 boxed a brick pillar as the cinder block"
1,T08,cinder block,cinder_block,"(5.79, -2.60, 105 deg)",2.50,-180,False,False,True,False,False,1.838,1.755,22.3,6,2946,150,180,obstacle_during_turn,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-yk7onlp1,"Sorry, I stopped because something is blocking the way to the cinder block. Grounding: block out of view in frames 0-3, boxed correctly in frames 4-5"
1,T09,cinder block,cinder_block,"(5.44, -3.28, -80 deg)",2.00,+20,True,True,True,True,True,0.675,0.557,16.7,3,1473,110,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-4py6r80l,I am now next to the cinder block. Grounding: box on the block in all 3 frames
1,T10,person,ragdoll,"(-6.30, 0.12, -105 deg)",3.18,+0,True,True,True,False,False,1.978,3.296,38.4,9,4401,169,359,object_not_found_search_limit,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-wvircayg,"Sorry, I could not find the person after turning a full circle. Grounding: figure boxed correctly in frame 0; its legs were in view but not found in frame 1 after driving 1.2 m closer"
1,T11,person,ragdoll,"(-6.46, -1.96, -30 deg)",1.23,-90,False,False,False,False,False,1.227,,28.9,8,3912,136,359,object_not_found_search_limit,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-9pede4mm,"Sorry, I could not find the person after turning a full circle. Grounding: figure's legs in view in frame 6 but not found"
1,T12,person,ragdoll,"(-5.71, -0.66, -105 deg)",2.72,-15,True,False,False,False,False,2.722,,30.0,8,3912,136,359,object_not_found_search_limit,qwen3-vl-plus,evaluation/task4_evidence/trials/attempt-8bxk51c6,"Sorry, I could not find the person after turning a full circle. Grounding: figure's legs in view in frame 0 (and partly in frame 7) but not found"
2,T01,fire hydrant,fire_hydrant,"(-3.08, 3.46, -180 deg)",3.50,-0,True,True,True,True,True,0.696,0.538,26.3,4,2652,143,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-vq5jo50r,I am now next to the fire hydrant. Grounding: hydrant boxed in all 4 frames
2,T02,fire hydrant,fire_hydrant,"(-4.41, 2.21, 170 deg)",2.50,-20,True,True,True,True,True,0.693,0.535,18.6,3,1989,106,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-_lsiu2p_,I am now next to the fire hydrant. Grounding: hydrant boxed in all 3 frames
2,T03,fire hydrant,fire_hydrant,"(-6.58, 0.46, -90 deg)",3.00,+180,False,False,True,True,True,0.697,0.525,39.2,8,5304,220,180,,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-s3sb2nj3,"I am now next to the fire hydrant. Grounding: hydrant out of view in frames 0-3 (behind), boxed in frames 4-7"
2,T04,car wheel,car_wheel,"(4.34, 0.97, -15 deg)",3.00,+0,True,True,True,True,True,0.616,0.569,20.9,3,1986,106,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-j982r85u,I am now next to the car wheel. Grounding: wheel boxed in all 3 frames
2,T05,car wheel,car_wheel,"(6.46, 3.09, -50 deg)",3.00,-25,True,True,True,True,True,0.704,0.544,21.1,3,1986,106,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-0hvzrjcw,I am now next to the car wheel. Grounding: wheel boxed in all 3 frames
2,T06,car wheel,car_wheel,"(5.12, 2.31, 75 deg)",2.99,-120,False,False,True,True,True,0.666,0.544,40.6,9,5958,229,225,,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-zu9pdyww,"I am now next to the car wheel. Grounding: wheel out of view in frames 0-4, boxed in frames 5-8"
2,T07,cinder block,cinder_block,"(6.44, -1.51, -90 deg)",3.50,-0,True,True,True,False,False,3.139,3.062,157.1,2,1326,74,0,path_blocked,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-n1r9tivb,"Sorry, I stopped because something is blocking the way to the cinder block. Grounding: the small block behind the table pedestal boxed correctly in both frames"
2,T08,cinder block,cinder_block,"(5.79, -2.60, 105 deg)",2.50,-180,False,False,True,False,False,1.919,1.824,21.7,6,3978,150,180,obstacle_during_turn,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-whsd9wj4,"Sorry, I stopped because something is blocking the way to the cinder block. Grounding: block out of view in frames 0-3, boxed in frames 4-5"
2,T09,cinder block,cinder_block,"(5.44, -3.28, -80 deg)",2.00,+20,True,True,True,True,True,0.661,0.538,15.9,3,1989,110,0,,qwen3-vl-plus,evaluation/task4_evidence/trials/run2/attempt-hwh660r9,I am now next to the cinder block. Grounding: block boxed in all 3 frames
